"topLeft","bottomRight","name","text","linkedCell","linkedValue","formControlType"
"A5","H8","Group Box 1",,,,"4"
"A6","H7","Option Button 2",,"$AM$5","1","7"
"A7","H8","Option Button 3",,"$AM$5","1","7"
"A9","K11","Group 5",,,,
"A12","B19","Group 4",,,,
"C12","J14","Group Box 193",,,,"4"
"D12","G13","Option Button 194",,"$AM$63","1","7"
"F12","I13","Option Button 197",,"$AM$63","1","7"
"C14","J16","Group Box 223",,,,"4"
"D15","I16","Check Box 224",,"$AM$10","False","1"
"A20","C23","Group Box 20",,,,"4"
"A21","A22","Check Box 38",,"$AM$8","True","1"
"A22","A23","Check Box 39",,"$AM$9","False","1"
"A25","R68","Group Box 24",,,,"4"
"R25","AD65","Group Box 103",,,,"4"
"A26","F31","Group 13",,,,
"R26","AD30","Group Box 104",,,,"4"
"R27","U28","Option Button 105",,"$AM$31","3","7"
"Z27","AC28","Option Button 225",,"$AM$31","3","7"
"R28","X29","Option Button 106",,"$AM$31","3","7"
"R29","Y30","Option Button 107",,"$AM$31","3","7"
"R31","V35","Group 11",,,,
"W31","AB33","Check Box 226",,"$AM$70","False","1"
"A33","K36","Group Box 33",,,,"4"
"A33","K37","Group 12",,,,
"A34","A36","Label 36",,,,"5"
"R35","AA41","Group Box 111",,,,"4"
"R36","W37","Option Button 177",,"$AM$59","3","7"
"R36","W41","Group Box 178",,,,"4"
"W36","AA41","Group Box 180",,,,"4"
"W36","AA38","Option Button 183",,"$AM$60","3","7"
"A37","A38","Label 41",,,,"5"
"R37","W38","Option Button 174",,"$AM$59","3","7"
"W37","AA39","Option Button 181",,"$AM$60","3","7"
"R38","W40","Option Button 175",,"$AM$59","3","7"
"W38","AA40","Option Button 182",,"$AM$60","3","7"
"A40","F42","Group Box 43",,,,"4"
"A40","B42","Option Button 44",,"$AM$13","1","7"
"B40","F42","Option Button 45",,"$AM$13","1","7"
"S40","V41","Check Box 179",,"$AM$61","False","1"
"A42","E43","Label 47",,,,"5"
"R42","U44","Option Button 117",,"$AM$36","3","7"
"R42","AD48","Group Box 116",,,,"4"
"AA43","AB44","Option Button 222",,"$AM$36","3","7"
"A44","F45","Check Box 48",,"$AM$14","False","1"
"A44","P47","Group Box 62",,,,"4"
"K44","M46","Label 202",,,,"5"
"R44","Y45","Option Button 118",,"$AM$36","3","7"
"M45","P47","Check Box 203",,"$AM$65","False","1"
"R45","AA46","Group Box 125",,,,"4"
"S45","U46","Label 120",,,,"5"
"U45","W46","Option Button 121",,"$AM$37","2","7"
"W45","X46","Option Button 122",,"$AM$37","2","7"
"X45","Z46","Option Button 123",,"$AM$37","2","7"
"Y45","AA46","Option Button 124",,"$AM$37","2","7"
"A46","A47","Label 49",,,,"5"
"AA46","AC47","Option Button 220",,"$AM$69","1","7"
"R46","Y47","Option Button 199",,"$AM$36","3","7"
"Y46","AD47","Group Box 213",,,,"4"
"Y46","AB47","Option Button 218",,"$AM$69","1","7"
"A47","P51","Group 20",,,,
"K47","M50","Label 210",,,,"5"
"R48","X65","Group Box 126",,,,"4"
"M49","P51","Check Box 205",,"$AM$66","False","1"
"R49","X54","Group 9",,,,
"A51","F53","Check Box 54",,"$AM$16","False","1"
"A51","P55","Group Box 64",,,,"4"
"K51","M54","Label 211",,,,"5"
"A53","B55","Label 55",,,,"5"
"C53","F55","Label 56",,,,"5"
"M53","P55","Check Box 207",,"$AM$67","False","1"
"R54","X59","Group 24",,,,
"A55","P59","Group Box 65",,,,"4"
"A55","F56","Check Box 57",,"$AM$17","False","1"
"K55","M58","Label 212",,,,"5"
"A57","B59","Label 58",,,,"5"
"C57","F59","Label 59",,,,"5"
"L57","P59","Check Box 209",,"$AM$68","False","1"
"A59","K63","Group 16",,,,
"R59","X65","Group Box 136",,,,"4"
"S60","V61","Check Box 137",,"$AM$41","True","1"
"S61","T63","Label 138",,,,"5"
"S62","V64","Label 139",,,,"5"
"A64","G66","Check Box 74",,"$AM$20","False","1"
"A64","K68","Group Box 75",,,,"4"
"A66","E67","Label 76",,,,"5"
"E66","I68","Option Button 78",,"$AM$21","1","7"
"I66","K68","Option Button 79",,"$AM$21","1","7"
"A67","E68","Label 77",,,,"5"
"A69","O78","Group Box 80",,,,"4"
"A70","G78","Group 15",,,,
"H70","L72","Check Box 95",,"$AM$27","False","1"
"H70","O78","Group Box 94",,,,"4"
"L71","N72","Label 96",,,,"5"
"H72","L74","Check Box 97",,"$AM$28","False","1"
"L73","N74","Label 98",,,,"5"
"H74","L76","Check Box 99",,"$AM$29","False","1"
"L75","N76","Label 100",,,,"5"
"H76","L78","Check Box 101",,"$AM$30","False","1"
"L77","N78","Label 102",,,,"5"
"A79","H89","Group Box 140",,,,"4"
"H79","O86","Group Box 150",,,,"4"
"A80","H82","Group Box 147",,,,"4"
"A80","A81","Check Box 141",,"$AM$42","False","1"
"H80","O82","Group Box 152",,,,"4"
"H80","M81","Check Box 151",,"$AM$45","False","1"
"K80","L82","Label 153",,,,"5"
"A81","A81","Label 142",,,,"5"
"A83","F85","Check Box 143",,"$AM$43","False","1"
"A83","H86","Group Box 148",,,,"4"
"H83","M85","Check Box 155",,"$AM$46","False","1"
"H83","O86","Group Box 156",,,,"4"
"A85","A85","Label 144",,,,"5"
"K85","L86","Label 157",,,,"5"
"A86","H89","Group Box 149",,,,"4"
"A86","H88","Check Box 145",,"$AM$44","False","1"
"A88","A89","Label 146",,,,"5"
